"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Suffolk city, VA"	"51800"	10	89273	Unreliable
	"Virginia Beach city, VA"	"51810"	89	452602	19.7
	"Winchester city, VA"	"51840"	11	27516	Unreliable
	"Benton County, WA"	"53005"	30	193686	15.5
	"Chelan County, WA"	"53007"	10	76338	Unreliable
	"Clallam County, WA"	"53009"	21	74570	28.2
	"Clark County, WA"	"53011"	67	467018	14.3
	"Cowlitz County, WA"	"53015"	25	105160	23.8
	"Grant County, WA"	"53025"	11	93546	Unreliable
	"Grays Harbor County, WA"	"53027"	22	71628	30.7
	"King County, WA"	"53033"	325	2149970	15.1
	"Kitsap County, WA"	"53035"	43	264811	16.2
	"Lewis County, WA"	"53041"	17	77066	Unreliable
	"Mason County, WA"	"53045"	14	62198	Unreliable
	"Pierce County, WA"	"53053"	173	861312	20.1
	"Skagit County, WA"	"53057"	28	123681	22.6
	"Snohomish County, WA"	"53061"	132	787620	16.8
	"Spokane County, WA"	"53063"	124	499072	24.8
	"Stevens County, WA"	"53065"	11	44439	Unreliable
	"Thurston County, WA"	"53067"	29	275222	10.5
	"Walla Walla County, WA"	"53071"	12	60340	Unreliable
	"Whatcom County, WA"	"53073"	16	216800	Unreliable
	"Yakima County, WA"	"53077"	30	249636	12.0
	"Berkeley County, WV"	"54003"	94	113525	82.8
	"Boone County, WV"	"54005"	11	22816	Unreliable
	"Brooke County, WV"	"54009"	11	22977	Unreliable
	"Cabell County, WV"	"54011"	102	95987	106.3
	"Fayette County, WV"	"54019"	17	44323	Unreliable
	"Greenbrier County, WV"	"54025"	10	35279	Unreliable
	"Hampshire County, WV"	"54027"	19	23301	Unreliable
	"Hancock County, WV"	"54029"	14	29590	Unreliable
	"Harrison County, WV"	"54033"	27	68400	39.5
	"Jefferson County, WV"	"54037"	39	56368	69.2
	"Kanawha County, WV"	"54039"	123	186241	66.0
	"Lincoln County, WV"	"54043"	14	21232	Unreliable
	"Logan County, WV"	"54045"	17	33700	Unreliable
	"McDowell County, WV"	"54047"	13	19141	Unreliable
