"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"15-24 years"	"15-24"	12	102305	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"25-34 years"	"25-34"	25	88440	28.3
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"35-44 years"	"35-44"	32	89000	36.0
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"45-54 years"	"45-54"	19	115861	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"55-64 years"	"55-64"	11	123856	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"65-74 years"	"65-74"	Suppressed	91098	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"75-84 years"	"75-84"	Suppressed	47986	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"85+ years"	"85+"	Suppressed	19512	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"			101	804782	12.5
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"< 1 year"	"1"	Suppressed	7536	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"1-4 years"	"1-4"	Suppressed	31567	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"5-14 years"	"5-14"	Suppressed	85689	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"15-24 years"	"15-24"	13	99090	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"25-34 years"	"25-34"	42	89118	47.1
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"35-44 years"	"35-44"	26	86947	29.9
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"45-54 years"	"45-54"	28	112423	24.9
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"55-64 years"	"55-64"	Suppressed	124600	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"65-74 years"	"65-74"	Suppressed	92907	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"75-84 years"	"75-84"	Suppressed	48567	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"85+ years"	"85+"	Suppressed	19593	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"			119	798037	14.9
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"< 1 year"	"1"	Suppressed	7464	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"1-4 years"	"1-4"	Suppressed	31459	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"5-14 years"	"5-14"	Suppressed	84707	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"15-24 years"	"15-24"	14	96901	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"25-34 years"	"25-34"	43	89502	48.0
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"35-44 years"	"35-44"	40	85533	46.8
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"45-54 years"	"45-54"	23	109024	21.1
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"55-64 years"	"55-64"	11	124712	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"65-74 years"	"65-74"	Suppressed	95334	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"75-84 years"	"75-84"	Suppressed	49914	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"85+ years"	"85+"	Suppressed	20224	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"			136	794774	17.1
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"< 1 year"	"1"	Suppressed	7369	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"1-4 years"	"1-4"	Suppressed	31664	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	83907	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"15-24 years"	"15-24"	16	95027	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"25-34 years"	"25-34"	40	89287	44.8
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"35-44 years"	"35-44"	41	85274	48.1
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"45-54 years"	"45-54"	28	105254	26.6
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"55-64 years"	"55-64"	15	124332	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"65-74 years"	"65-74"	Suppressed	97000	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"75-84 years"	"75-84"	Suppressed	51822	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"85+ years"	"85+"	Suppressed	20314	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"			148	791250	18.7
"Total"	"NonCore (Nonmetro)"	"6"	"Division 2: Middle Atlantic"	"CENS-D2"					1023	9766840	10.5
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"< 1 year"	"1"	Suppressed	36556	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"1-4 years"	"1-4"	Suppressed	139594	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"5-14 years"	"5-14"	Suppressed	388224	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"15-24 years"	"15-24"	18	363679	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"25-34 years"	"25-34"	32	311342	10.3
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"35-44 years"	"35-44"	39	387402	10.1
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"45-54 years"	"45-54"	37	462465	8.0
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"55-64 years"	"55-64"	Suppressed	385286	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"65-74 years"	"65-74"	Suppressed	269901	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"75-84 years"	"75-84"	Suppressed	173531	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"85+ years"	"85+"	Suppressed	67687	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2007"	"2007"			136	2985667	4.6
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"< 1 year"	"1"	Suppressed	36386	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"1-4 years"	"1-4"	Suppressed	140267	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"5-14 years"	"5-14"	Suppressed	383573	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"15-24 years"	"15-24"	17	356271	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"25-34 years"	"25-34"	24	311003	7.7
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"35-44 years"	"35-44"	39	374447	10.4
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"45-54 years"	"45-54"	33	463104	7.1
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"55-64 years"	"55-64"	11	392935	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"65-74 years"	"65-74"	Suppressed	277625	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"75-84 years"	"75-84"	Suppressed	172548	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"85+ years"	"85+"	Suppressed	68529	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2008"	"2008"			129	2976688	4.3
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"< 1 year"	"1"	Suppressed	34643	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"1-4 years"	"1-4"	Suppressed	140385	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"5-14 years"	"5-14"	Suppressed	379025	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"15-24 years"	"15-24"	19	349222	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"25-34 years"	"25-34"	33	310645	10.6
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"35-44 years"	"35-44"	30	360873	8.3
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"45-54 years"	"45-54"	46	460942	10.0
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"55-64 years"	"55-64"	17	403278	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"65-74 years"	"65-74"	Suppressed	283341	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"75-84 years"	"75-84"	Suppressed	170825	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"85+ years"	"85+"	Suppressed	69415	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2009"	"2009"			151	2962594	5.1
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"< 1 year"	"1"	Suppressed	33165	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"1-4 years"	"1-4"	Suppressed	140058	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"5-14 years"	"5-14"	Suppressed	376574	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"15-24 years"	"15-24"	13	344295	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"25-34 years"	"25-34"	42	311791	13.5
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"35-44 years"	"35-44"	40	352781	11.3
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"45-54 years"	"45-54"	41	457783	9.0
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"55-64 years"	"55-64"	15	412844	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"65-74 years"	"65-74"	Suppressed	286451	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"75-84 years"	"75-84"	Suppressed	170721	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"85+ years"	"85+"	Suppressed	70680	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"			156	2957143	5.3
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"< 1 year"	"1"	Suppressed	32010	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"1-4 years"	"1-4"	Suppressed	136853	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"5-14 years"	"5-14"	Suppressed	372020	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"15-24 years"	"15-24"	11	341688	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"25-34 years"	"25-34"	43	313414	13.7
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"35-44 years"	"35-44"	38	342205	11.1
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"45-54 years"	"45-54"	45	448591	10.0
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"55-64 years"	"55-64"	19	428049	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"65-74 years"	"65-74"	Suppressed	290982	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"75-84 years"	"75-84"	Suppressed	171687	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"85+ years"	"85+"	Suppressed	72023	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"			163	2949522	5.5
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"< 1 year"	"1"	Suppressed	31130	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"1-4 years"	"1-4"	Suppressed	133222	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"5-14 years"	"5-14"	Suppressed	367761	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"15-24 years"	"15-24"	22	340798	6.5
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"25-34 years"	"25-34"	36	310442	11.6
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"35-44 years"	"35-44"	28	334884	8.4
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"45-54 years"	"45-54"	44	435245	10.1
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"55-64 years"	"55-64"	31	428893	7.2
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"65-74 years"	"65-74"	Suppressed	304982	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"75-84 years"	"75-84"	Suppressed	173387	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"85+ years"	"85+"	Suppressed	72955	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"			164	2933699	5.6
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"< 1 year"	"1"	Suppressed	31313	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"1-4 years"	"1-4"	Suppressed	130702	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"5-14 years"	"5-14"	Suppressed	365619	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"15-24 years"	"15-24"	22	341289	6.4
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"25-34 years"	"25-34"	59	308037	19.2
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"35-44 years"	"35-44"	43	330342	13.0
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"45-54 years"	"45-54"	51	422129	12.1
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"55-64 years"	"55-64"	30	436126	6.9
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"65-74 years"	"65-74"	Suppressed	313199	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"75-84 years"	"75-84"	Suppressed	175766	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"85+ years"	"85+"	Suppressed	73754	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"			212	2928276	7.2
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"< 1 year"	"1"	Suppressed	31233	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"1-4 years"	"1-4"	Suppressed	129021	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"5-14 years"	"5-14"	Suppressed	360230	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"15-24 years"	"15-24"	15	339853	Unreliable
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"25-34 years"	"25-34"	58	306568	18.9
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"35-44 years"	"35-44"	63	325751	19.3
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"45-54 years"	"45-54"	55	409685	13.4
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"55-64 years"	"55-64"	27	440657	6.1
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"65-74 years"	"65-74"	Suppressed	322146	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"75-84 years"	"75-84"	Suppressed	177741	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"85+ years"	"85+"	Suppressed	74312	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"			225	2917197	7.7
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"< 1 year"	"1"	Suppressed	31322	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"1-4 years"	"1-4"	Suppressed	128142	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"5-14 years"	"5-14"	Suppressed	354998	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"15-24 years"	"15-24"	24	335910	7.1
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"25-34 years"	"25-34"	77	305831	25.2
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"35-44 years"	"35-44"	58	322005	18.0
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"45-54 years"	"45-54"	54	398301	13.6
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"55-64 years"	"55-64"	25	444739	5.6
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"65-74 years"	"65-74"	Suppressed	330815	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"75-84 years"	"75-84"	Suppressed	178993	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"85+ years"	"85+"	Suppressed	74703	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
"Total"	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"			250	2905759	8.6
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"< 1 year"	"1"	Suppressed	31048	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"1-4 years"	"1-4"	Suppressed	127901	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"5-14 years"	"5-14"	Suppressed	350566	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"15-24 years"	"15-24"	22	330600	6.7
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"25-34 years"	"25-34"	96	307359	31.2
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"35-44 years"	"35-44"	85	317318	26.8
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"45-54 years"	"45-54"	78	386819	20.2
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"55-64 years"	"55-64"	41	448422	9.1
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"65-74 years"	"65-74"	Suppressed	338781	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"75-84 years"	"75-84"	Suppressed	181336	Suppressed
	"NonCore (Nonmetro)"	"6"	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"85+ years"	"85+"	Suppressed	74409	Suppressed
